#Muv(this is their median) phi sigma_upper sigma_lower
-20.78  8.8  7.1 4.4  
-20.21  13  6 6 
-19.68  42  11 11
-19.29  80  18 18 
-18.83  116  28 28
-18.27  253  79 79
