5.0   -1.26    -1.40  -0.93
5.2   -1.39    -1.53  -1.06
5.4   -1.52    -1.65  -1.19
5.6   -1.64    -1.77  -1.32
5.8   -1.76    -1.89  -1.45
6.0   -1.87    -2.00  -1.57
6.2   -1.97    -2.10  -1.70
6.4   -2.06    -2.20  -1.82
6.6   -2.15    -2.28  -1.94
6.8   -2.21    -2.35  -2.06
7.0   -2.27    -2.41  -2.16
7.2   -2.32    -2.46   -2.21
7.4   -2.37    -2.51   -2.27
7.6   -2.44    -2.57   -2.34
7.8   -2.54    -2.67   -2.44
8.0   -2.66    -2.79   -2.57
8.2   -2.82    -2.94   -2.73
8.4   -3.00    -3.12   -2.91
8.6   -3.20    -3.31   -3.07
8.8   -3.41    -3.52   -3.22
9.0   -3.68    -3.79   -3.44
9.2   -4.00    -4.17   -3.72
9.4   -4.34    -4.56   -4.06
9.6   -4.68    -4.96   -4.44
