     -19.0000   0.00040039918    0.0010041925   0.00033233162
     -18.5000    0.0014664885    0.0021023702   0.00093687216
     -18.0000    0.0039893652    0.0025593121    0.0021713049
     -17.5000    0.0059259008    0.0041688242    0.0032253065
     -17.0000     0.017518660    0.0078717291    0.0095427691
     -16.5000     0.011574441    0.0093815220    0.0059765162
     -16.0000     0.016361096     0.033672826     0.010593800
     -15.5000     0.014871016     0.020956026     0.012165686
     -15.0000     0.053532412     0.054991178     0.046095938
     -14.5000     0.084400947      0.11893651     0.069046724
