#log(mass)      log_Phi    err_log_Phi_up  err_log_Phi_low 
	   9.25		-2.53		0.06		0.07
	   9.50		-2.50		0.06		0.07
	   9.75		-2.63		0.06		0.07
	   10.00	-2.74		0.07		0.08
	   10.25	-2.91		0.08		0.09
	   10.50	-3.07		0.09		0.10
	   10.75	-3.35		0.10		0.13
	   11.00	-3.54		0.12		0.16
	   11.25	-3.89		0.12		0.17
	   11.50	-4.41		0.14		0.19
