#log(mass)      Phi         Phi_up      Phi_low
       9.245    0.001101    0.001696   0.0006958
       9.445   0.0006005   0.0008756   0.0004044
       9.645   0.0003104   0.0003918   0.0002448
        9.76    0.000331   0.0007727   0.0001398
        9.96   4.362e-05   0.0001097   1.457e-05
       10.16   5.454e-05   9.368e-05   3.107e-05
       10.36   1.302e-05   3.325e-05   4.296e-06
       10.56   6.228e-06   2.337e-05   9.811e-07
       10.76   6.227e-06   2.324e-05   9.847e-07
