#M_UV phi_15 err_15
-19.855 3.395e-08 1.262e-08
-19.515 8.734e-08 2.908e-08
-19.175 2.170e-07 7.354e-08
-18.835 5.191e-07 1.981e-07
-18.495 1.190e-06 5.094e-07
-18.155 2.629e-06 1.273e-06
-17.815 5.570e-06 2.944e-06
-17.475 1.128e-05 6.423e-06
-17.135 2.180e-05 1.292e-05
-16.795 4.028e-05 2.468e-05
-16.455 7.118e-05 4.491e-05
-16.115 1.194e-04 7.814e-05
-15.775 1.922e-04 1.332e-04
-15.435 2.962e-04 2.240e-04
-15.095 4.405e-04 3.721e-04
-14.755 6.333e-04 6.017e-04
-14.415 8.899e-04 9.492e-04
-14.075 1.227e-03 1.472e-03
-13.735 1.661e-03 2.195e-03
-13.395 2.198e-03 3.211e-03
-13.055 2.886e-03 4.521e-03
-12.715 3.730e-03 6.206e-03
-12.375 4.647e-03 8.068e-03
-12.035 5.774e-03 1.030e-02
-11.695 6.794e-03 1.239e-02
-11.355 7.773e-03 1.424e-02
-11.015 8.571e-03 1.589e-02
-10.675 9.125e-03 1.719e-02
-10.335 9.485e-03 1.798e-02
