#M_UV phi_7 err_7
-19.855 3.754e-04 8.963e-05
-19.515 5.726e-04 1.080e-04
-19.175 8.628e-04 1.306e-04
-18.835 1.283e-03 1.707e-04
-18.495 1.885e-03 2.570e-04
-18.155 2.736e-03 4.237e-04
-17.815 3.924e-03 7.065e-04
-17.475 5.556e-03 1.148e-03
-17.135 7.757e-03 1.811e-03
-16.795 1.066e-02 2.731e-03
-16.455 1.446e-02 3.989e-03
-16.115 1.928e-02 5.669e-03
-15.775 2.519e-02 7.808e-03
-15.435 3.229e-02 1.076e-02
-15.095 4.052e-02 1.482e-02
-14.755 4.982e-02 2.065e-02
-14.415 5.985e-02 2.850e-02
-14.075 7.102e-02 3.970e-02
-13.735 8.265e-02 5.352e-02
-13.395 9.510e-02 7.100e-02
-13.055 1.083e-01 9.134e-02
-12.715 1.235e-01 1.176e-01
-12.375 1.393e-01 1.462e-01
-12.035 1.556e-01 1.771e-01
-11.695 1.713e-01 2.096e-01
-11.355 1.881e-01 2.434e-01
-11.015 2.012e-01 2.741e-01
-10.675 2.112e-01 2.994e-01
-10.335 2.163e-01 3.213e-01
