#M_UV phi_8 err_8
-19.855 1.667e-04 4.197e-05
-19.515 2.676e-04 5.321e-05
-19.175 4.232e-04 6.895e-05
-18.835 6.588e-04 9.845e-05
-18.495 1.011e-03 1.599e-04
-18.155 1.528e-03 2.763e-04
-17.815 2.275e-03 4.759e-04
-17.475 3.326e-03 7.915e-04
-17.135 4.795e-03 1.275e-03
-16.795 6.787e-03 1.963e-03
-16.455 9.447e-03 2.919e-03
-16.115 1.285e-02 4.181e-03
-15.775 1.713e-02 5.924e-03
-15.435 2.233e-02 8.295e-03
-15.095 2.838e-02 1.165e-02
-14.755 3.530e-02 1.639e-02
-14.415 4.296e-02 2.312e-02
-14.075 5.140e-02 3.208e-02
-13.735 6.061e-02 4.381e-02
-13.395 7.068e-02 5.800e-02
-13.055 8.189e-02 7.587e-02
-12.715 9.362e-02 9.642e-02
-12.375 1.067e-01 1.205e-01
-12.035 1.199e-01 1.458e-01
-11.695 1.339e-01 1.730e-01
-11.355 1.465e-01 1.989e-01
-11.015 1.580e-01 2.238e-01
-10.675 1.660e-01 2.446e-01
-10.335 1.699e-01 2.609e-01
