#M_UV phi_10 err_10
-19.855 2.384e-05 6.649e-06
-19.515 4.289e-05 9.575e-06
-19.175 7.568e-05 1.463e-05
-18.835 1.305e-04 2.490e-05
-18.495 2.206e-04 4.682e-05
-18.155 3.647e-04 8.907e-05
-17.815 5.917e-04 1.659e-04
-17.475 9.355e-04 2.920e-04
-17.135 1.451e-03 4.924e-04
-16.795 2.184e-03 7.956e-04
-16.455 3.225e-03 1.235e-03
-16.115 4.614e-03 1.850e-03
-15.775 6.415e-03 2.728e-03
-15.435 8.698e-03 3.998e-03
-15.095 1.143e-02 5.857e-03
-14.755 1.465e-02 8.538e-03
-14.415 1.836e-02 1.231e-02
-14.075 2.264e-02 1.730e-02
-13.735 2.750e-02 2.406e-02
-13.395 3.301e-02 3.237e-02
-13.055 3.960e-02 4.287e-02
-12.715 4.642e-02 5.506e-02
-12.375 5.447e-02 6.962e-02
-12.035 6.245e-02 8.484e-02
-11.695 7.080e-02 1.011e-01
-11.355 7.779e-02 1.153e-01
-11.015 8.377e-02 1.286e-01
-10.675 8.877e-02 1.406e-01
-10.335 9.004e-02 1.480e-01
