#M_UV phi_12 err_12
-19.855 2.284e-06 7.129e-07
-19.515 4.688e-06 1.209e-06
-19.175 9.365e-06 2.224e-06
-18.835 1.819e-05 4.546e-06
-18.495 3.440e-05 9.818e-06
-18.155 6.311e-05 2.042e-05
-17.815 1.128e-04 4.140e-05
-17.475 1.957e-04 7.866e-05
-17.135 3.288e-04 1.417e-04
-16.795 5.335e-04 2.413e-04
-16.455 8.385e-04 3.948e-04
-16.115 1.276e-03 6.264e-04
-15.775 1.863e-03 9.667e-04
-15.435 2.652e-03 1.496e-03
-15.095 3.638e-03 2.286e-03
-14.755 4.849e-03 3.464e-03
-14.415 6.324e-03 5.131e-03
-14.075 8.127e-03 7.488e-03
-13.735 1.028e-02 1.068e-02
-13.395 1.285e-02 1.470e-02
-13.055 1.574e-02 1.981e-02
-12.715 1.918e-02 2.609e-02
-12.375 2.305e-02 3.323e-02
-12.035 2.706e-02 4.088e-02
-11.695 3.139e-02 4.916e-02
-11.355 3.468e-02 5.614e-02
-11.015 3.783e-02 6.259e-02
-10.675 3.974e-02 6.759e-02
-10.335 4.046e-02 7.089e-02
