#M_UV phi_9 err_9
-19.855 6.637e-05 1.764e-05
-19.515 1.125e-04 2.368e-05
-19.175 1.876e-04 3.294e-05
-18.835 3.070e-04 5.160e-05
-18.495 4.933e-04 9.001e-05
-18.155 7.790e-04 1.649e-04
-17.815 1.207e-03 2.942e-04
-17.475 1.837e-03 5.032e-04
-17.135 2.743e-03 8.281e-04
-16.795 4.003e-03 1.302e-03
-16.455 5.715e-03 1.967e-03
-16.115 7.972e-03 2.884e-03
-15.775 1.084e-02 4.143e-03
-15.435 1.439e-02 5.957e-03
-15.095 1.863e-02 8.548e-03
-14.755 2.346e-02 1.225e-02
-14.415 2.895e-02 1.754e-02
-14.075 3.508e-02 2.439e-02
-13.735 4.199e-02 3.335e-02
-13.395 4.966e-02 4.484e-02
-13.055 5.848e-02 5.878e-02
-12.715 6.768e-02 7.526e-02
-12.375 7.778e-02 9.313e-02
-12.035 8.879e-02 1.138e-01
-11.695 9.975e-02 1.356e-01
-11.355 1.093e-01 1.559e-01
-11.015 1.177e-01 1.743e-01
-10.675 1.236e-01 1.892e-01
-10.335 1.262e-01 2.008e-01
