8.50000        -1.46241      0.0228943
8.75000        -1.58582      0.0233306
9.00000        -1.73114      0.0240039
9.25000        -1.89359      0.0244632
9.50000        -2.00688      0.0254610
9.75000        -2.07567      0.0266271
10.0000        -2.19268      0.0280412
10.2500        -2.24390      0.0277214
10.5000        -2.29887      0.0292965
10.7500        -2.46702      0.0350802
11.0000        -2.77723      0.0473108
11.2500        -3.15967      0.0740896
11.5000        -3.89117       0.131126
11.7500        -5.14644        1.03974
