# Greene et al. (2024), UNCOVER red broad-line AGN
# Magnitude definition: M1450
# Phi convention: linear Phi in units of 1e-5 cMpc^-3 mag^-1
# Note: Values are reproduced from Table 1 of Grazian et al. (2024), which compiles the Greene et al. measurement.
# Note: These red sources are not equivalent to a classical UV-color-selected unobscured-quasar sample.
#
# M1450  Phi  Delta
 -19.00  1.3  0.5
 -18.00  2.6  0.7
 -17.00  4.0  1.0
