5.0   -2.04    -2.16   -1.65
5.2   -2.17    -2.29   -1.75
5.4   -2.29    -2.42   -1.84
5.6   -2.41    -2.54   -1.93
5.8   -2.53    -2.66   -2.02
6.0   -2.65    -2.78   -2.11
6.2   -2.76    -2.89   -2.21
6.4   -2.86    -2.99   -2.30
6.6   -2.94    -3.08   -2.39
6.8   -2.99    -3.13   -2.47
7.0   -3.00    -3.15   -2.56
7.2   -2.98    -3.13   -2.64
7.4   -2.94    -3.08   -2.72
7.6   -2.89    -3.02   -2.77
7.8   -2.88    -3.00   -2.76
8.0   -2.91    -3.03   -2.81
8.2   -3.01    -3.13   -2.91
8.4   -3.14    -3.26   -3.04
8.6   -3.30    -3.41   -3.18
8.8   -3.49    -3.60   -3.29
9.0   -3.75    -3.85   -3.48
9.2   -4.06    -4.16   -3.75
9.4   -4.40    -4.49   -4.09
9.6   -4.74    -4.83   -4.46
