-22.0000	5.3708e-06	4.6290e-06	1.6163e-05
-21.5172	1.2952e-05	1.0264e-05	2.7887e-05
-21.0345	2.9342e-05	2.0750e-05	4.4253e-05
-20.5517	6.3002e-05	3.8413e-05	6.8601e-05
-20.0690	1.2921e-04	6.5233e-05	9.6528e-05
-19.5862	2.5452e-04	1.0167e-04	1.2762e-04
-19.1034	4.8052e-04	1.5358e-04	1.6821e-04
-18.6207	8.7305e-04	2.3910e-04	2.3887e-04
-18.1379	1.5383e-03	4.2397e-04	4.4882e-04
-17.6552	2.6209e-03	8.1397e-04	8.9686e-04
-17.1724	4.3339e-03	1.5561e-03	1.7753e-03
-16.6897	6.9073e-03	2.7986e-03	3.4310e-03
-16.2069	1.0626e-02	4.8454e-03	6.4595e-03
-15.7241	1.5719e-02	8.4682e-03	1.1917e-02
-15.2414	2.2476e-02	1.5662e-02	2.0238e-02
-14.7586	3.1091e-02	2.6575e-02	3.5197e-02
-14.2759	4.1376e-02	3.9529e-02	5.7369e-02
-13.7931	5.3617e-02	5.3256e-02	9.6095e-02
-13.3103	6.5640e-02	6.5616e-02	1.5103e-01
-12.8276	7.5846e-02	7.5845e-02	2.3180e-01
-12.3448	8.2126e-02	8.2126e-02	3.3688e-01
-11.8621	7.8799e-02	7.8799e-02	4.7631e-01
-11.3793	6.0635e-02	6.0635e-02	6.4038e-01
-10.8966	3.7243e-02	3.7243e-02	8.1244e-01
-10.4138	1.6082e-02	1.6082e-02	9.7018e-01
-9.9310	4.6948e-03	4.6948e-03	1.0654e+00
-9.4483	7.4142e-04	7.4142e-04	1.0993e+00
-8.9655	5.3001e-05	5.3001e-05	1.0798e+00
-8.4828	1.2674e-06	1.2674e-06	1.0057e+00
-8.0000	8.0298e-09	8.0298e-09	8.8363e-01
