# Katsianis et al. 2014 simulated SMFs (consistent with Gonzalez+ 2011)
# h = 0.7, Salpeter IMF
# logSM      log(phi)      er
8.08701      -1.92191      0.0949941
8.59838      -2.37059      0.0906714
9.00747      -2.76195      0.0928208
9.28020      -2.95861      0.0946909
9.56429      -3.58503      0.133538
9.84838      -3.85387      0.124000
10.1438      -4.69897      0.434000
10.4393      -4.69897      0.434000
