#mag           phi                  phierr_l68      phierr_u68
-20.83        2.515e-05       2.515e-05     2.712e-05
-19.88        1.544e-04       9.843e-05     9.953e-05
-18.93        6.797e-04       4.077e-04     4.155e-04
-17.98        1.950e-03       1.143e-03     1.143e-03
-17.03        6.147e-03       4.346e-03     4.527e-03
-16.08        1.654e-02       9.558e-03     9.602e-03
