#Name: J/ApJ/746/169
#Title: Luminosity function of broad-line quasars (Shen+, 2012)
#Table J_ApJ_746_169_table4:
#Name: J/ApJ/746/169/table4
#Title: Model LF and BHMF
#---Details of Columns:
#    logM ([Msun])   (F6.3)  [6/11] True Black Hole mass of the bin [ucd=phys.mass]
#    logPhiMa ([-])  (F7.3)  [-18.85/-4.28] Median BHMF for all BHs log{Phi}o (in Mpc^-3^logMsun^-1^ units) [ucd=phys.luminosity.fun]
#    ElogPhiMa ([-]) (F7.3)  The 84% percentile BHMF for logPhiMa log{Phi}+ (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
#    elogPhiMa ([-]) (F7.3)  The 16% percentile BHMF for logPhiMa log{Phi}- (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
# ------ ------- ------- -------
# l              E       e            ogM ([ logPhiM logPhiM logPhiM
# ogM ([ logPhiM logPhiM logPhiM
# Msun]) a ([-]) a ([-]) a ([-])
# ------ ------- ------- -------
  6.000 -14.281 -10.302 -21.378
  6.025 -14.164 -10.228 -21.187
  6.050 -14.047 -10.154 -20.999
  6.075 -13.933 -10.079 -20.810
  6.100 -13.820 -10.007 -20.618
  6.125 -13.706  -9.933 -20.426
  6.150 -13.596  -9.870 -20.244
  6.175 -13.483  -9.801 -20.057
  6.200 -13.371  -9.733 -19.873
  6.225 -13.260  -9.664 -19.687
  6.250 -13.150  -9.594 -19.503
  6.275 -13.040  -9.527 -19.320
  6.300 -12.935  -9.460 -19.132
  6.325 -12.830  -9.395 -18.954
  6.350 -12.722  -9.330 -18.771
  6.375 -12.619  -9.265 -18.585
  6.400 -12.517  -9.200 -18.404
  6.425 -12.414  -9.136 -18.227
  6.450 -12.316  -9.074 -18.057
  6.475 -12.215  -9.014 -17.875
  6.500 -12.115  -8.955 -17.701
  6.525 -12.020  -8.895 -17.537
  6.550 -11.922  -8.839 -17.362
  6.575 -11.824  -8.783 -17.190
  6.600 -11.729  -8.727 -17.023
  6.625 -11.631  -8.672 -16.853
  6.650 -11.539  -8.618 -16.687
  6.675 -11.445  -8.565 -16.530
  6.700 -11.353  -8.513 -16.369
  6.725 -11.261  -8.462 -16.205
  6.750 -11.174  -8.414 -16.045
  6.775 -11.089  -8.364 -15.888
  6.800 -11.003  -8.316 -15.726
  6.825 -10.917  -8.266 -15.563
  6.850 -10.831  -8.218 -15.406
  6.875 -10.747  -8.172 -15.249
  6.900 -10.663  -8.127 -15.094
  6.925 -10.581  -8.080 -14.940
  6.950 -10.499  -8.035 -14.791
  6.975 -10.419  -7.992 -14.644
  7.000 -10.341  -7.949 -14.496
  7.025 -10.262  -7.907 -14.348
  7.050 -10.184  -7.865 -14.204
  7.075 -10.109  -7.825 -14.059
  7.100 -10.030  -7.784 -13.917
  7.125  -9.955  -7.744 -13.777
  7.150  -9.879  -7.706 -13.637
  7.175  -9.807  -7.669 -13.501
  7.200  -9.734  -7.630 -13.362
  7.225  -9.662  -7.595 -13.226
  7.250  -9.592  -7.557 -13.095
  7.275  -9.523  -7.520 -12.962
  7.300  -9.455  -7.481 -12.830
  7.325  -9.388  -7.445 -12.697
  7.350  -9.321  -7.407 -12.571
  7.375  -9.254  -7.372 -12.442
  7.400  -9.190  -7.335 -12.315
  7.425  -9.125  -7.300 -12.188
  7.450  -9.061  -7.267 -12.064
  7.475  -8.998  -7.234 -11.940
  7.500  -8.936  -7.202 -11.817
  7.525  -8.876  -7.173 -11.694
  7.550  -8.817  -7.143 -11.577
  7.575  -8.760  -7.114 -11.460
  7.600  -8.702  -7.083 -11.344
  7.625  -8.643  -7.053 -11.228
  7.650  -8.586  -7.025 -11.115
  7.675  -8.531  -7.001 -11.003
  7.700  -8.477  -6.975 -10.895
  7.725  -8.424  -6.949 -10.784
  7.750  -8.372  -6.923 -10.679
  7.775  -8.320  -6.900 -10.575
  7.800  -8.269  -6.875 -10.469
  7.825  -8.220  -6.855 -10.367
  7.850  -8.172  -6.833 -10.268
  7.875  -8.125  -6.814 -10.171
  7.900  -8.078  -6.792 -10.073
  7.925  -8.032  -6.773  -9.976
  7.950  -7.987  -6.756  -9.882
  7.975  -7.943  -6.739  -9.788
  8.000  -7.901  -6.721  -9.697
  8.025  -7.859  -6.704  -9.609
  8.050  -7.819  -6.688  -9.521
  8.075  -7.779  -6.672  -9.435
  8.100  -7.738  -6.657  -9.349
  8.125  -7.700  -6.644  -9.268
  8.150  -7.663  -6.631  -9.185
  8.175  -7.627  -6.619  -9.105
  8.200  -7.591  -6.607  -9.027
  8.225  -7.556  -6.596  -8.953
  8.250  -7.523  -6.586  -8.878
  8.275  -7.492  -6.577  -8.804
  8.300  -7.461  -6.569  -8.732
  8.325  -7.431  -6.560  -8.661
  8.350  -7.402  -6.553  -8.594
