9.6	-2.45	0.12
9.9	-2.56	0.13
10.1	-2.62	0.13
10.4	-2.88	0.14
10.6	-2.98	0.14
10.9	-3.14	0.16
11.1	-3.96	0.20
11.4	-3.78	0.17
11.6	-3.96	0.19
11.9	-3.96	0.19
12.1	-3.96	0.22
