#M_1600	  Phi	error
-22.69	0.000003  0.000004
-22.19	0.000015  0.000009
-21.69	0.000134  0.000023
-21.19	0.000393  0.000040
-20.69	0.000678  0.000063
-20.19	0.001696  0.000113
-19.69	0.002475  0.000185
-19.19	0.002984  0.000255
-18.69	0.005352  0.000446
-18.19	0.006865  0.001043
-17.69	0.010473  0.002229
-16.94	0.024580  0.003500
-15.94	0.025080  0.007860
