# Katsianis et al. 2014 star formation rate function converted from Smit et al. 2012
# Dust corrections follow Smit et al. 2012
# h = 0.7, Salpeter IMF
# logSFR      log(phi)       er
-0.0700000     -1.81163       0.133041
0.150000      -2.11862       0.122615
0.380000      -2.28988       0.126055
0.610000      -2.64975       0.145313
0.840000      -2.97469       0.180151
1.08000       -3.50864       0.266000
1.32000       -3.48149       0.236727
