# Katsianis et al. 2014 star formation rate function converted from Smit et al. 2012
# Dust corrections follow Smit et al. 2012
# h = 0.7, Salpeter IMF
# logSFR      log(phi)    er
-0.0400     -1.92191    0.0949941
0.41000     -2.37059    0.0906714
0.77000     -2.76195    0.0928208
1.01000     -2.95861    0.0946909
1.26000     -3.58503    0.133538
1.51000     -3.85387    0.124000
1.77000     -4.69897    0.434000
2.03000     -4.69897    0.434000 
