#Name: J/ApJ/746/169
#Title: Luminosity function of broad-line quasars (Shen+, 2012)
#Table J_ApJ_746_169_table4:
#Name: J/ApJ/746/169/table4
#Title: Model LF and BHMF
#---Details of Columns:
#    logM ([Msun])   (F6.3)  [6/11] True Black Hole mass of the bin [ucd=phys.mass]
#    logPhiMa ([-])  (F7.3)  [-18.85/-4.28] Median BHMF for all BHs log{Phi}o (in Mpc^-3^logMsun^-1^ units) [ucd=phys.luminosity.fun]
#    ElogPhiMa ([-]) (F7.3)  The 84% percentile BHMF for logPhiMa log{Phi}+ (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
#    elogPhiMa ([-]) (F7.3)  The 16% percentile BHMF for logPhiMa log{Phi}- (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
# ------ ------- ------- -------
# l              E       e            ogM ([ logPhiM logPhiM logPhiM
# ogM ([ logPhiM logPhiM logPhiM
# Msun]) a ([-]) a ([-]) a ([-])
# ------ ------- ------- -------
  6.000 -11.095  -9.086 -13.162
  6.025 -10.948  -8.985 -12.974
  6.050 -10.802  -8.884 -12.792
  6.075 -10.659  -8.781 -12.610
  6.100 -10.520  -8.681 -12.428
  6.125 -10.380  -8.582 -12.245
  6.150 -10.244  -8.484 -12.068
  6.175 -10.106  -8.386 -11.894
  6.200  -9.971  -8.291 -11.721
  6.225  -9.837  -8.194 -11.553
  6.250  -9.706  -8.101 -11.387
  6.275  -9.577  -8.007 -11.221
  6.300  -9.448  -7.914 -11.055
  6.325  -9.321  -7.821 -10.893
  6.350  -9.194  -7.730 -10.732
  6.375  -9.071  -7.640 -10.570
  6.400  -8.950  -7.550 -10.413
  6.425  -8.829  -7.463 -10.263
  6.450  -8.710  -7.377 -10.113
  6.475  -8.594  -7.292  -9.966
  6.500  -8.480  -7.210  -9.822
  6.525  -8.367  -7.129  -9.677
  6.550  -8.257  -7.048  -9.532
  6.575  -8.148  -6.968  -9.391
  6.600  -8.039  -6.889  -9.253
  6.625  -7.933  -6.813  -9.118
  6.650  -7.829  -6.736  -8.986
  6.675  -7.728  -6.660  -8.855
  6.700  -7.627  -6.585  -8.727
  6.725  -7.528  -6.512  -8.602
  6.750  -7.430  -6.439  -8.477
  6.775  -7.336  -6.369  -8.356
  6.800  -7.242  -6.301  -8.236
  6.825  -7.150  -6.233  -8.117
  6.850  -7.060  -6.166  -8.000
  6.875  -6.972  -6.099  -7.887
  6.900  -6.886  -6.034  -7.775
  6.925  -6.801  -5.969  -7.668
  6.950  -6.718  -5.907  -7.561
  6.975  -6.637  -5.846  -7.457
  7.000  -6.558  -5.788  -7.355
  7.025  -6.481  -5.731  -7.257
  7.050  -6.405  -5.675  -7.161
  7.075  -6.332  -5.619  -7.067
  7.100  -6.261  -5.567  -6.976
  7.125  -6.192  -5.515  -6.886
  7.150  -6.123  -5.465  -6.798
  7.175  -6.056  -5.417  -6.712
  7.200  -5.993  -5.370  -6.631
  7.225  -5.930  -5.325  -6.550
  7.250  -5.870  -5.281  -6.471
  7.275  -5.811  -5.239  -6.394
  7.300  -5.754  -5.198  -6.319
  7.325  -5.700  -5.158  -6.246
  7.350  -5.646  -5.120  -6.175
  7.375  -5.595  -5.083  -6.107
  7.400  -5.545  -5.049  -6.040
  7.425  -5.498  -5.016  -5.975
  7.450  -5.452  -4.984  -5.913
  7.475  -5.409  -4.954  -5.854
  7.500  -5.366  -4.925  -5.797
  7.525  -5.326  -4.898  -5.742
  7.550  -5.288  -4.873  -5.691
  7.575  -5.251  -4.850  -5.641
  7.600  -5.216  -4.828  -5.594
  7.625  -5.183  -4.807  -5.548
  7.650  -5.153  -4.789  -5.505
  7.675  -5.124  -4.772  -5.464
