#Name: J/ApJ/746/169
#Title: Luminosity function of broad-line quasars (Shen+, 2012)
#Table J_ApJ_746_169_table4:
#Name: J/ApJ/746/169/table4
#Title: Model LF and BHMF
#---Details of Columns:
#    logM ([Msun])   (F6.3)  [6/11] True Black Hole mass of the bin [ucd=phys.mass]
#    logPhiMa ([-])  (F7.3)  [-18.85/-4.28] Median BHMF for all BHs log{Phi}o (in Mpc^-3^logMsun^-1^ units) [ucd=phys.luminosity.fun]
#    ElogPhiMa ([-]) (F7.3)  The 84% percentile BHMF for logPhiMa log{Phi}+ (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
#    elogPhiMa ([-]) (F7.3)  The 16% percentile BHMF for logPhiMa log{Phi}- (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
# ------ ------- ------- -------
# l              E       e            ogM ([ logPhiM logPhiM logPhiM
# ogM ([ logPhiM logPhiM logPhiM
# Msun]) a ([-]) a ([-]) a ([-])
# ------ ------- ------- -------
  6.000 -12.010 -10.251 -13.426
  6.025 -11.817 -10.109 -13.214
  6.050 -11.626  -9.969 -13.008
  6.075 -11.437  -9.829 -12.805
  6.100 -11.251  -9.692 -12.606
  6.125 -11.066  -9.558 -12.410
  6.150 -10.885  -9.423 -12.216
  6.175 -10.707  -9.291 -12.025
  6.200 -10.532  -9.163 -11.837
  6.225 -10.360  -9.037 -11.653
  6.250 -10.190  -8.911 -11.471
  6.275 -10.022  -8.786 -11.291
  6.300  -9.857  -8.663 -11.113
  6.325  -9.695  -8.540 -10.940
  6.350  -9.535  -8.420 -10.766
  6.375  -9.378  -8.302 -10.597
  6.400  -9.223  -8.187 -10.430
  6.425  -9.072  -8.074 -10.266
  6.450  -8.923  -7.963 -10.106
  6.475  -8.777  -7.852  -9.948
  6.500  -8.634  -7.743  -9.792
  6.525  -8.493  -7.637  -9.641
  6.550  -8.356  -7.532  -9.491
  6.575  -8.221  -7.427  -9.344
  6.600  -8.089  -7.325  -9.198
  6.625  -7.960  -7.225  -9.056
  6.650  -7.834  -7.127  -8.914
  6.675  -7.710  -7.031  -8.776
  6.700  -7.588  -6.936  -8.642
  6.725  -7.469  -6.841  -8.509
  6.750  -7.352  -6.748  -8.378
  6.775  -7.237  -6.657  -8.251
  6.800  -7.126  -6.565  -8.125
  6.825  -7.018  -6.476  -8.002
  6.850  -6.913  -6.390  -7.884
  6.875  -6.811  -6.305  -7.766
  6.900  -6.712  -6.221  -7.653
  6.925  -6.617  -6.139  -7.542
  6.950  -6.524  -6.058  -7.434
  6.975  -6.434  -5.979  -7.327
  7.000  -6.347  -5.902  -7.226
  7.025  -6.263  -5.827  -7.125
  7.050  -6.183  -5.754  -7.028
  7.075  -6.105  -5.683  -6.935
  7.100  -6.030  -5.614  -6.845
  7.125  -5.957  -5.545  -6.757
  7.150  -5.888  -5.478  -6.672
  7.175  -5.822  -5.414  -6.589
  7.200  -5.758  -5.352  -6.511
  7.225  -5.696  -5.291  -6.435
  7.250  -5.637  -5.233  -6.363
  7.275  -5.580  -5.177  -6.292
  7.300  -5.525  -5.122  -6.223
  7.325  -5.473  -5.070  -6.156
  7.350  -5.423  -5.019  -6.091
  7.375  -5.376  -4.970  -6.030
  7.400  -5.330  -4.923  -5.970
  7.425  -5.288  -4.879  -5.911
  7.450  -5.247  -4.836  -5.857
  7.475  -5.208  -4.796  -5.806
  7.500  -5.172  -4.759  -5.756
  7.525  -5.137  -4.724  -5.710
  7.550  -5.105  -4.692  -5.666
  7.575  -5.075  -4.662  -5.626
  7.600  -5.047  -4.636  -5.588
  7.625  -5.021  -4.611  -5.552
  7.650  -4.998  -4.589  -5.519
  7.675  -4.978  -4.570  -5.489
  7.700  -4.959  -4.553  -5.461
  7.725  -4.943  -4.539  -5.437
  7.750  -4.929  -4.527  -5.415
  7.775  -4.917  -4.518  -5.396
  7.800  -4.907  -4.511  -5.379
  7.825  -4.899  -4.506  -5.364
  7.850  -4.894  -4.504  -5.350
  7.875  -4.891  -4.504  -5.339
  7.900  -4.890  -4.507  -5.329
  7.925  -4.891  -4.512  -5.323
  7.950  -4.896  -4.520  -5.317
  7.975  -4.902  -4.529  -5.313
  8.000  -4.910  -4.541  -5.312
  8.025  -4.920  -4.556  -5.313
  8.050  -4.933  -4.572  -5.315
  8.075  -4.946  -4.589  -5.319
  8.100  -4.962  -4.609  -5.325
  8.125  -4.979  -4.632  -5.333
  8.150  -4.998  -4.655  -5.342
  8.175  -5.019  -4.681  -5.353
  8.200  -5.040  -4.709  -5.364
  8.225  -5.064  -4.738  -5.377
  8.250  -5.089  -4.769  -5.392
  8.275  -5.114  -4.802  -5.407
  8.300  -5.141  -4.835  -5.422
  8.325  -5.166  -4.869  -5.438
  8.350  -5.192  -4.903  -5.453
  8.375  -5.219  -4.939  -5.468
  8.400  -5.243  -4.974  -5.483
  8.425  -5.267  -5.009  -5.497
  8.450  -5.289  -5.042  -5.510
  8.475  -5.310  -5.073  -5.522
  8.500  -5.329  -5.103  -5.534
  8.525  -5.347  -5.130  -5.545
  8.550  -5.362  -5.155  -5.555
  8.575  -5.376  -5.176  -5.564
  8.600  -5.390  -5.195  -5.573
  8.625  -5.402  -5.213  -5.582
  8.650  -5.413  -5.229  -5.590
  8.675  -5.423  -5.243  -5.597
  8.700  -5.433  -5.257  -5.604
  8.725  -5.443  -5.271  -5.611
  8.750  -5.453  -5.284  -5.618
  8.775  -5.463  -5.299  -5.624
  8.800  -5.473  -5.315  -5.631
  8.825  -5.485  -5.332  -5.638
  8.850  -5.498  -5.350  -5.646
  8.875  -5.512  -5.369  -5.654
  8.900  -5.528  -5.391  -5.664
  8.925  -5.546  -5.414  -5.676
  8.950  -5.566  -5.438  -5.689
  8.975  -5.588  -5.465  -5.705
  9.000  -5.611  -5.494  -5.723
  9.025  -5.637  -5.524  -5.744
  9.050  -5.665  -5.557  -5.768
  9.075  -5.696  -5.591  -5.795
  9.100  -5.728  -5.626  -5.825
  9.125  -5.763  -5.663  -5.858
  9.150  -5.800  -5.702  -5.895
  9.175  -5.839  -5.743  -5.934
  9.200  -5.881  -5.785  -5.978
  9.225  -5.926  -5.829  -6.024
  9.250  -5.973  -5.874  -6.075
  9.275  -6.023  -5.922  -6.129
  9.300  -6.075  -5.971  -6.186
  9.325  -6.130  -6.022  -6.247
  9.350  -6.188  -6.075  -6.311
  9.375  -6.249  -6.131  -6.378
  9.400  -6.313  -6.188  -6.449
  9.425  -6.379  -6.248  -6.523
  9.450  -6.449  -6.310  -6.600
  9.475  -6.520  -6.375  -6.681
  9.500  -6.595  -6.441  -6.765
  9.525  -6.672  -6.511  -6.853
  9.550  -6.751  -6.582  -6.943
  9.575  -6.833  -6.656  -7.036
  9.600  -6.918  -6.733  -7.132
  9.625  -7.005  -6.812  -7.232
  9.650  -7.095  -6.893  -7.334
  9.675  -7.188  -6.977  -7.440
  9.700  -7.285  -7.064  -7.548
  9.725  -7.384  -7.152  -7.659
  9.750  -7.486  -7.244  -7.773
  9.775  -7.591  -7.338  -7.889
  9.800  -7.699  -7.433  -8.009
  9.825  -7.810  -7.532  -8.132
  9.850  -7.924  -7.633  -8.257
  9.875  -8.040  -7.737  -8.385
  9.900  -8.159  -7.843  -8.517
  9.925  -8.282  -7.951  -8.651
  9.950  -8.407  -8.062  -8.789
  9.975  -8.534  -8.177  -8.929
 10.000  -8.664  -8.293  -9.071
 10.025  -8.797  -8.412  -9.216
 10.050  -8.933  -8.534  -9.365
 10.075  -9.071  -8.658  -9.516
 10.100  -9.212  -8.785  -9.671
 10.125  -9.356  -8.914  -9.828
 10.150  -9.502  -9.045  -9.988
 10.175  -9.651  -9.178 -10.152
 10.200  -9.802  -9.313 -10.317
 10.225  -9.956  -9.451 -10.486
 10.250 -10.112  -9.590 -10.658
 10.275 -10.272  -9.732 -10.833
 10.300 -10.434  -9.876 -11.011
 10.325 -10.597 -10.020 -11.191
 10.350 -10.764 -10.167 -11.374
 10.375 -10.934 -10.316 -11.560
 10.400 -11.106 -10.469 -11.749
 10.425 -11.280 -10.623 -11.942
 10.450 -11.457 -10.780 -12.135
 10.475 -11.637 -10.938 -12.333
 10.500 -11.819 -11.098 -12.532
 10.525 -12.003 -11.260 -12.735
