#Name: J/ApJ/746/169
#Title: Luminosity function of broad-line quasars (Shen+, 2012)
#Table J_ApJ_746_169_table4:
#Name: J/ApJ/746/169/table4
#Title: Model LF and BHMF
#---Details of Columns:
#    logM ([Msun])   (F6.3)  [6/11] True Black Hole mass of the bin [ucd=phys.mass]
#    logPhiMa ([-])  (F7.3)  [-18.85/-4.28] Median BHMF for all BHs log{Phi}o (in Mpc^-3^logMsun^-1^ units) [ucd=phys.luminosity.fun]
#    ElogPhiMa ([-]) (F7.3)  The 84% percentile BHMF for logPhiMa log{Phi}+ (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
#    elogPhiMa ([-]) (F7.3)  The 16% percentile BHMF for logPhiMa log{Phi}- (in Mpc^-3^logMsun^-1^ units) [ucd=stat.error]
# ------ ------- ------- -------
# l              E       e            ogM ([ logPhiM logPhiM logPhiM
# ogM ([ logPhiM logPhiM logPhiM
# Msun]) a ([-]) a ([-]) a ([-])
# ------ ------- ------- -------
  9.375  -7.760  -7.492  -8.067
  9.400  -7.845  -7.579  -8.156
  9.425  -7.924  -7.660  -8.239
  9.450  -7.997  -7.735  -8.318
  9.475  -8.064  -7.805  -8.394
  9.500  -8.126  -7.868  -8.461
  9.525  -8.181  -7.925  -8.522
  9.550  -8.230  -7.977  -8.577
  9.575  -8.275  -8.022  -8.623
  9.600  -8.314  -8.064  -8.664
  9.625  -8.350  -8.103  -8.698
  9.650  -8.381  -8.141  -8.728
  9.675  -8.411  -8.178  -8.754
  9.700  -8.440  -8.213  -8.776
  9.725  -8.469  -8.248  -8.797
  9.750  -8.497  -8.282  -8.815
  9.775  -8.525  -8.316  -8.832
  9.800  -8.554  -8.349  -8.851
  9.825  -8.584  -8.382  -8.870
  9.850  -8.614  -8.415  -8.891
  9.875  -8.645  -8.448  -8.914
  9.900  -8.676  -8.480  -8.940
  9.925  -8.707  -8.512  -8.968
  9.950  -8.740  -8.544  -8.999
  9.975  -8.774  -8.577  -9.032
 10.000  -8.807  -8.609  -9.068
 10.025  -8.842  -8.642  -9.106
 10.050  -8.877  -8.674  -9.149
 10.075  -8.913  -8.707  -9.193
 10.100  -8.950  -8.739  -9.240
 10.125  -8.988  -8.772  -9.289
 10.150  -9.027  -8.805  -9.341
 10.175  -9.067  -8.839  -9.394
 10.200  -9.109  -8.874  -9.449
 10.225  -9.152  -8.909  -9.506
 10.250  -9.196  -8.944  -9.565
 10.275  -9.241  -8.980  -9.625
 10.300  -9.287  -9.016  -9.689
 10.325  -9.334  -9.052  -9.753
 10.350  -9.383  -9.088  -9.820
 10.375  -9.433  -9.127  -9.889
 10.400  -9.484  -9.166  -9.959
 10.425  -9.537  -9.206 -10.032
 10.450  -9.590  -9.246 -10.107
 10.475  -9.644  -9.287 -10.183
 10.500  -9.700  -9.329 -10.260
 10.525  -9.758  -9.372 -10.339
 10.550  -9.816  -9.415 -10.420
 10.575  -9.875  -9.460 -10.503
 10.600  -9.936  -9.505 -10.588
 10.625  -9.999  -9.551 -10.673
 10.650 -10.063  -9.597 -10.759
 10.675 -10.127  -9.645 -10.848
 10.700 -10.194  -9.693 -10.937
 10.725 -10.263  -9.742 -11.028
 10.750 -10.332  -9.793 -11.122
 10.775 -10.404  -9.844 -11.218
 10.800 -10.475  -9.896 -11.314
 10.825 -10.548  -9.949 -11.411
 10.850 -10.623 -10.002 -11.511
 10.875 -10.698 -10.057 -11.611
 10.900 -10.776 -10.113 -11.712
 10.925 -10.855 -10.170 -11.816
 10.950 -10.935 -10.229 -11.922
 10.975 -11.015 -10.288 -12.029
 11.000 -11.096 -10.347 -12.139
